project_id,state,district,project_type,land_area_hectares,affected_families,compensation_status,legal_dispute,approval_stage,rehabilitation_progress_pct,stakeholder_responsiveness,historical_dept_performance_score,months_since_initiation,notification_delay,approval_delay,compensation_delay,possession_delay,delay_label
LA-1068,Tamil Nadu,Coimbatore,Airport,104.53,252,Paid,No,Compensation,47.9,Medium,72.21223659783688,18.3,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1069,Delhi,New Delhi,Industrial Corridor,131.55,114,Partially Paid,No,Possession,33.4,Medium,52.641238890738485,19.3,On-Time,On-Time,Delayed,Delayed,Delayed
LA-1070,West Bengal,Kolkata,Irrigation,61.68,63,Partially Paid,No,Approval,89.1,Medium,66.18149344456012,27.6,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1071,Tamil Nadu,Madurai,Airport,144.8,223,Pending,No,Approval,35.9,High,71.92972566343228,22.6,On-Time,Delayed,Delayed,Delayed,Delayed
LA-1072,Uttar Pradesh,Lucknow,Irrigation,20.75,76,Partially Paid,No,Possession,59.6,Medium,86.76963569450449,24.4,Delayed,Delayed,On-Time,On-Time,Delayed
LA-1073,Delhi,South Delhi,Railway,56.69,157,Paid,No,Approval,51.6,High,77.08851414666175,20.5,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1074,Tamil Nadu,Madurai,Power Project,127.52,256,Partially Paid,No,Approval,30.6,Medium,66.34818680603222,30.0,On-Time,On-Time,Delayed,Delayed,Delayed
LA-1075,Karnataka,Hubballi,Industrial Corridor,16.3,120,Partially Paid,No,Possession,60.8,Medium,64.88047962708178,27.1,On-Time,Delayed,On-Time,On-Time,On-Time
LA-1076,Karnataka,Mysuru,Airport,115.67,166,Partially Paid,No,Notification,67.1,Medium,69.70118078995773,7.0,Delayed,On-Time,On-Time,On-Time,Delayed
LA-1077,Tamil Nadu,Coimbatore,Power Project,103.04,190,Paid,No,Possession,49.4,Medium,76.50068174198331,37.4,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1078,Delhi,New Delhi,Power Project,49.67,115,Paid,No,Possession,81.0,Low,53.835323183643396,18.0,On-Time,Delayed,On-Time,On-Time,On-Time
LA-1079,Gujarat,Vadodara,Irrigation,115.76,185,Pending,Yes,Compensation,73.6,Medium,78.54814001196847,39.7,Delayed,On-Time,Delayed,Delayed,On-Time
LA-1080,Uttar Pradesh,Agra,Metro,52.02,84,Paid,No,Notification,78.7,Low,50.945086566199365,23.9,On-Time,Delayed,On-Time,Delayed,On-Time
LA-1081,Bihar,Bhagalpur,Railway,137.69,152,Paid,Yes,Approval,49.2,Medium,71.84469586938036,40.2,On-Time,On-Time,On-Time,On-Time,Delayed
LA-1082,Madhya Pradesh,Jabalpur,Railway,108.21,141,Paid,No,Notification,48.6,Medium,73.12140695862806,34.9,On-Time,Delayed,On-Time,On-Time,On-Time
LA-1083,Maharashtra,Pune,Railway,158.69,282,Paid,No,Approval,38.3,High,54.926523679991305,10.7,On-Time,On-Time,On-Time,On-Time,Delayed
LA-1084,Delhi,North Delhi,Industrial Corridor,292.59,444,Paid,No,Possession,68.9,High,41.86429087330605,12.1,On-Time,On-Time,On-Time,On-Time,Delayed
LA-1085,Maharashtra,Pune,Highway,109.24,241,Partially Paid,Yes,Approval,89.6,Medium,61.031464510935216,44.0,Delayed,Delayed,On-Time,On-Time,Delayed
LA-1086,Maharashtra,Nagpur,Industrial Corridor,172.71,186,Pending,No,Approval,43.9,High,25.55193747111351,31.9,On-Time,Delayed,Delayed,On-Time,Delayed
LA-1087,Karnataka,Hubballi,Airport,33.12,125,Paid,No,Compensation,33.5,Medium,62.32453534188389,45.5,Delayed,On-Time,On-Time,On-Time,On-Time
LA-1088,Madhya Pradesh,Gwalior,Power Project,127.35,323,Paid,No,Compensation,73.0,Medium,46.27639124820683,9.5,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1089,Bihar,Muzaffarpur,Power Project,10.04,31,Partially Paid,Yes,Possession,70.5,Low,95.0,15.1,On-Time,On-Time,Delayed,On-Time,Delayed
LA-1090,Rajasthan,Jaipur,Highway,132.89,208,Paid,Yes,Approval,80.7,Low,80.88042839637109,18.1,Delayed,On-Time,On-Time,Delayed,Delayed
LA-1091,Uttar Pradesh,Varanasi,Airport,33.57,91,Pending,No,Possession,33.8,High,66.08299292374568,27.9,On-Time,On-Time,Delayed,On-Time,On-Time
LA-1092,Karnataka,Hubballi,Highway,145.41,349,Paid,Yes,Compensation,65.3,High,84.98615087631073,12.9,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1093,Tamil Nadu,Chennai,Power Project,184.0,369,Paid,No,Approval,82.5,Medium,75.57552661001942,37.0,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1094,Madhya Pradesh,Indore,Irrigation,126.42,251,Partially Paid,No,Approval,87.0,High,47.54690239165672,25.0,On-Time,On-Time,Delayed,On-Time,On-Time
LA-1095,Tamil Nadu,Salem,Industrial Corridor,16.32,5,Pending,Yes,Approval,73.9,High,55.618462970005645,25.0,On-Time,On-Time,On-Time,On-Time,Delayed
LA-1096,Rajasthan,Udaipur,Railway,62.48,114,Partially Paid,No,Compensation,27.1,Low,80.44200512338995,25.5,Delayed,On-Time,On-Time,On-Time,Delayed
LA-1097,Rajasthan,Kota,Power Project,278.59,359,Paid,No,Approval,86.6,Low,50.59193849612936,17.9,Delayed,On-Time,On-Time,Delayed,On-Time
LA-1098,Gujarat,Rajkot,Metro,123.53,277,Paid,No,Possession,42.4,Medium,70.92977079981279,26.4,On-Time,On-Time,Delayed,On-Time,On-Time
LA-1099,Delhi,South Delhi,Railway,140.31,258,Pending,No,Compensation,12.4,Medium,75.12136996355082,30.8,On-Time,Delayed,Delayed,Delayed,On-Time
LA-1100,Uttar Pradesh,Agra,Power Project,36.99,45,Pending,No,Possession,24.0,High,61.090349959173125,15.7,Delayed,On-Time,Delayed,On-Time,Delayed
LA-1101,Delhi,North Delhi,Industrial Corridor,42.94,35,Paid,No,Notification,52.5,Medium,67.28494834173189,12.9,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1102,Madhya Pradesh,Bhopal,Highway,73.99,88,Pending,No,Approval,58.0,Medium,77.47690887943598,19.5,On-Time,On-Time,On-Time,Delayed,On-Time
LA-1103,Maharashtra,Pune,Irrigation,159.23,292,Partially Paid,No,Notification,43.8,Medium,76.76134448618711,19.7,On-Time,On-Time,Delayed,On-Time,On-Time
LA-1104,Rajasthan,Jodhpur,Irrigation,45.94,78,Partially Paid,No,Approval,84.8,High,71.72265990771406,34.4,On-Time,On-Time,On-Time,On-Time,Delayed
LA-1105,Bihar,Muzaffarpur,Railway,264.29,251,Paid,No,Possession,73.0,Low,64.80568477575643,16.2,Delayed,On-Time,On-Time,On-Time,On-Time
LA-1106,Maharashtra,Nagpur,Industrial Corridor,23.03,95,Pending,No,Notification,66.7,Medium,73.81033657629848,36.3,On-Time,Delayed,Delayed,On-Time,On-Time
LA-1107,Gujarat,Surat,Irrigation,73.4,92,Paid,No,Approval,48.0,Medium,34.676955729451656,41.0,On-Time,Delayed,On-Time,On-Time,On-Time
LA-1108,Tamil Nadu,Chennai,Irrigation,199.68,236,Partially Paid,Yes,Notification,66.7,Low,87.13369444532056,20.4,On-Time,Delayed,Delayed,Delayed,Delayed
LA-1109,Uttar Pradesh,Lucknow,Airport,36.85,68,Paid,No,Approval,97.0,High,63.01164020539871,24.6,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1110,Delhi,North Delhi,Metro,59.2,126,Pending,No,Possession,44.6,High,53.975489769849204,35.8,Delayed,Delayed,On-Time,Delayed,Delayed
LA-1111,Maharashtra,Mumbai,Railway,95.24,143,Paid,No,Compensation,65.4,Low,73.99195877937761,44.8,On-Time,Delayed,On-Time,On-Time,Delayed
LA-1112,Uttar Pradesh,Kanpur,Highway,37.53,197,Paid,Yes,Compensation,24.1,Low,73.57144427369724,22.9,Delayed,Delayed,On-Time,Delayed,Delayed
LA-1113,West Bengal,Siliguri,Irrigation,18.82,81,Paid,No,Approval,31.9,Medium,50.353601124626906,13.4,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1114,Tamil Nadu,Madurai,Airport,48.01,151,Paid,Yes,Possession,41.1,High,66.0130966860492,35.4,Delayed,Delayed,Delayed,Delayed,On-Time
LA-1115,Madhya Pradesh,Jabalpur,Industrial Corridor,184.12,243,Paid,Yes,Compensation,45.3,Medium,65.56002615666068,20.6,On-Time,On-Time,Delayed,On-Time,Delayed
LA-1116,Bihar,Gaya,Irrigation,73.22,121,Paid,No,Approval,44.4,High,64.58124614048779,12.1,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1117,Tamil Nadu,Chennai,Metro,36.1,60,Pending,No,Approval,47.8,Medium,89.36029699208966,44.9,On-Time,On-Time,On-Time,Delayed,On-Time
LA-1118,Uttar Pradesh,Varanasi,Highway,37.14,148,Partially Paid,Yes,Possession,78.1,High,64.69766995479006,25.4,Delayed,On-Time,Delayed,Delayed,On-Time
LA-1119,Bihar,Patna,Industrial Corridor,153.46,318,Partially Paid,No,Compensation,51.7,Low,63.05142902752293,47.7,On-Time,On-Time,On-Time,Delayed,On-Time
LA-1120,Rajasthan,Kota,Industrial Corridor,49.22,51,Paid,No,Compensation,71.3,Medium,54.79448350265217,33.7,On-Time,On-Time,Delayed,On-Time,On-Time
LA-1121,Tamil Nadu,Coimbatore,Railway,113.69,193,Paid,No,Approval,37.0,Low,52.62740718911401,21.1,On-Time,Delayed,On-Time,On-Time,Delayed
LA-1122,Bihar,Patna,Irrigation,66.58,123,Paid,No,Approval,53.8,High,70.880638728778,38.5,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1123,Maharashtra,Pune,Railway,106.44,170,Pending,Yes,Compensation,45.5,High,57.95269865745625,35.6,On-Time,Delayed,Delayed,Delayed,Delayed
LA-1124,Uttar Pradesh,Prayagraj,Highway,153.74,135,Paid,No,Compensation,68.6,Low,62.181059347988906,11.0,On-Time,Delayed,On-Time,Delayed,On-Time
LA-1125,Uttar Pradesh,Kanpur,Irrigation,161.67,205,Pending,No,Compensation,44.8,High,67.97252724773381,33.2,On-Time,On-Time,Delayed,On-Time,Delayed
LA-1126,Gujarat,Surat,Power Project,40.0,117,Paid,No,Compensation,94.5,Medium,65.95534178911042,59.6,On-Time,On-Time,Delayed,On-Time,On-Time
LA-1127,Tamil Nadu,Madurai,Irrigation,74.62,178,Pending,No,Approval,49.7,High,67.02441585373141,21.4,On-Time,On-Time,On-Time,Delayed,Delayed
LA-1128,Bihar,Bhagalpur,Power Project,57.48,74,Paid,No,Possession,83.6,Medium,66.9697524974008,35.4,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1129,Delhi,New Delhi,Industrial Corridor,175.04,224,Paid,No,Possession,85.4,High,74.36900777336083,60.0,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1130,Rajasthan,Kota,Railway,39.46,5,Partially Paid,No,Possession,73.2,High,95.0,18.4,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1131,Gujarat,Rajkot,Metro,111.66,205,Pending,No,Approval,70.8,Medium,83.4396603786196,26.8,On-Time,On-Time,Delayed,On-Time,Delayed
LA-1132,Uttar Pradesh,Varanasi,Irrigation,107.77,145,Partially Paid,No,Approval,42.9,High,59.565648440330705,25.7,On-Time,On-Time,On-Time,Delayed,On-Time
LA-1133,Uttar Pradesh,Agra,Metro,42.64,68,Paid,No,Possession,60.1,High,83.2326020753462,23.6,On-Time,Delayed,On-Time,Delayed,Delayed
LA-1134,Maharashtra,Mumbai,Irrigation,18.92,46,Partially Paid,No,Compensation,87.8,Medium,49.19313803986182,60.0,On-Time,Delayed,On-Time,On-Time,Delayed
LA-1135,West Bengal,Kolkata,Industrial Corridor,50.98,214,Pending,No,Compensation,76.9,Medium,56.506136466108956,7.7,On-Time,On-Time,Delayed,On-Time,Delayed
LA-1136,Maharashtra,Nashik,Railway,67.26,109,Paid,No,Possession,49.5,High,75.60324381899979,21.7,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1137,Rajasthan,Jaipur,Highway,70.3,78,Paid,Yes,Compensation,42.4,Medium,75.13799611906194,20.3,On-Time,On-Time,On-Time,On-Time,Delayed
LA-1138,Karnataka,Bengaluru,Highway,65.42,106,Pending,No,Compensation,63.4,Low,74.02304027770407,20.6,Delayed,On-Time,Delayed,On-Time,Delayed
LA-1139,Gujarat,Ahmedabad,Highway,130.03,152,Pending,No,Notification,63.1,High,56.14553172242604,11.2,On-Time,On-Time,Delayed,On-Time,On-Time
LA-1140,West Bengal,Siliguri,Irrigation,143.78,191,Partially Paid,Yes,Notification,39.9,Medium,56.24834335308376,41.9,On-Time,On-Time,Delayed,On-Time,On-Time
LA-1141,West Bengal,Durgapur,Irrigation,168.65,235,Pending,No,Notification,61.5,Medium,66.96727164125662,33.2,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1142,Maharashtra,Mumbai,Metro,47.14,134,Paid,No,Possession,27.1,High,61.21565407444081,14.0,On-Time,On-Time,Delayed,On-Time,On-Time
LA-1143,Rajasthan,Jaipur,Railway,77.33,183,Partially Paid,No,Approval,68.7,High,78.3226362052024,16.3,On-Time,Delayed,On-Time,Delayed,On-Time
LA-1144,Maharashtra,Nashik,Irrigation,207.48,246,Partially Paid,No,Compensation,52.0,Medium,60.83998969699004,10.2,On-Time,Delayed,On-Time,On-Time,On-Time
LA-1145,Maharashtra,Nagpur,Railway,74.71,149,Partially Paid,No,Possession,63.7,Medium,60.39780805864486,17.6,On-Time,On-Time,On-Time,Delayed,On-Time
LA-1146,Delhi,New Delhi,Metro,55.71,157,Pending,No,Compensation,54.5,High,40.61238097124604,26.6,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1147,Madhya Pradesh,Indore,Irrigation,121.67,199,Pending,Yes,Compensation,40.2,Low,78.12995351171878,8.4,On-Time,Delayed,Delayed,Delayed,Delayed
LA-1148,Rajasthan,Udaipur,Highway,133.68,237,Paid,Yes,Approval,91.2,Medium,69.8356605844178,18.9,On-Time,On-Time,Delayed,On-Time,Delayed
LA-1149,Delhi,New Delhi,Highway,75.05,174,Paid,Yes,Possession,64.2,High,30.709962020095624,60.0,Delayed,Delayed,On-Time,On-Time,On-Time
LA-1150,Maharashtra,Aurangabad,Industrial Corridor,61.73,91,Paid,No,Notification,57.7,Medium,71.67527989862762,6.1,On-Time,On-Time,On-Time,Delayed,On-Time
LA-1151,Bihar,Gaya,Power Project,35.25,86,Partially Paid,Yes,Notification,54.9,Low,58.98234641848179,15.0,On-Time,Delayed,On-Time,On-Time,Delayed
LA-1152,Maharashtra,Pune,Airport,64.0,86,Paid,No,Notification,56.7,High,76.63914618105258,27.5,On-Time,On-Time,On-Time,Delayed,On-Time
LA-1153,Uttar Pradesh,Lucknow,Power Project,26.75,47,Pending,No,Approval,82.7,Medium,63.42335190330364,18.3,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1154,Rajasthan,Jodhpur,Irrigation,170.62,309,Paid,No,Approval,72.8,Medium,52.93438406297246,8.1,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1155,West Bengal,Howrah,Railway,22.0,58,Paid,Yes,Compensation,53.5,High,90.93570884288945,26.6,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1156,Maharashtra,Nagpur,Irrigation,50.96,136,Partially Paid,No,Approval,60.5,High,88.57951978081425,20.6,On-Time,On-Time,Delayed,Delayed,Delayed
LA-1157,Karnataka,Mysuru,Railway,96.69,131,Partially Paid,No,Compensation,30.0,High,62.21480611723574,14.9,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1158,Tamil Nadu,Coimbatore,Railway,87.89,129,Paid,No,Notification,64.1,High,70.589579581448,17.8,On-Time,Delayed,On-Time,Delayed,On-Time
LA-1159,Maharashtra,Nagpur,Power Project,43.3,146,Partially Paid,No,Notification,90.2,High,58.11160834197152,18.0,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1160,Karnataka,Mangaluru,Airport,104.22,257,Paid,No,Compensation,46.1,Low,39.40266308480005,12.2,On-Time,Delayed,On-Time,On-Time,On-Time
