project_id,state,district,project_type,land_area_hectares,affected_families,compensation_status,legal_dispute,approval_stage,possession_status,rehabilitation_progress_pct,stakeholder_responsiveness,historical_dept_performance_score,months_since_initiation,approval_timeline_days,notification_delay,approval_delay,compensation_delay,possession_delay,delay_label
LA-1012,West Bengal,Kolkata,Power Project,59.52,69,Paid,Yes,Possession,In Progress,56.3,Low,45.14743471048624,7.2,292,Delayed,Delayed,On-Time,Delayed,On-Time
LA-1013,Bihar,Bhagalpur,Industrial Corridor,54.15,89,Paid,Yes,Approval,Not Started,64.9,High,70.26140537165209,7.9,204,Delayed,Delayed,Delayed,On-Time,On-Time
LA-1014,Uttar Pradesh,Prayagraj,Metro,60.49,105,Pending,No,Compensation,Pending,67.0,Medium,49.30625705178474,10.5,212,Delayed,Delayed,On-Time,On-Time,On-Time
LA-1015,Uttar Pradesh,Kanpur,Highway,167.28,227,Paid,Yes,Notification,Not Started,66.6,Medium,82.55473588402273,39.4,276,Delayed,On-Time,On-Time,On-Time,On-Time
LA-1016,Uttar Pradesh,Prayagraj,Railway,143.24,327,Paid,No,Compensation,Pending,39.8,Medium,40.99877793478032,30.8,307,Delayed,Delayed,On-Time,On-Time,On-Time
LA-1017,Maharashtra,Nagpur,Railway,30.44,85,Partially Paid,No,Compensation,Pending,93.2,High,51.61290372254253,41.5,244,On-Time,Delayed,On-Time,On-Time,On-Time
LA-1018,Rajasthan,Udaipur,Highway,29.04,119,Pending,Yes,Approval,Pending,82.8,Medium,66.97069752377547,32.5,259,On-Time,Delayed,Delayed,Delayed,Delayed
LA-1019,Gujarat,Ahmedabad,Irrigation,112.54,162,Paid,No,Approval,Not Started,87.0,Low,75.67210681074471,20.7,254,On-Time,On-Time,On-Time,Delayed,On-Time
LA-1020,Maharashtra,Mumbai,Power Project,81.61,102,Paid,No,Compensation,In Progress,86.8,Low,66.39075353658303,47.0,259,Delayed,Delayed,On-Time,On-Time,On-Time
LA-1021,Madhya Pradesh,Bhopal,Railway,15.71,97,Paid,No,Possession,Completed,57.6,Medium,72.42710972701475,58.2,239,Delayed,On-Time,On-Time,Delayed,On-Time
LA-1022,Uttar Pradesh,Lucknow,Irrigation,30.72,5,Paid,No,Approval,Not Started,53.8,Medium,56.761750388330654,9.8,178,Delayed,On-Time,On-Time,On-Time,On-Time
LA-1023,Maharashtra,Nashik,Railway,84.56,62,Partially Paid,Yes,Approval,Not Started,56.8,High,48.633401508547195,45.3,306,On-Time,Delayed,Delayed,Delayed,Delayed
LA-1024,Gujarat,Surat,Highway,358.73,347,Partially Paid,No,Approval,Not Started,52.9,Low,86.9691902546963,44.8,213,Delayed,Delayed,Delayed,On-Time,Delayed
LA-1025,Rajasthan,Jaipur,Power Project,130.65,351,Partially Paid,No,Possession,Pending,36.8,Low,72.48147280234816,11.1,205,Delayed,Delayed,Delayed,Delayed,Delayed
LA-1026,Tamil Nadu,Coimbatore,Power Project,40.63,55,Partially Paid,No,Approval,Pending,70.5,Medium,57.68397506640653,13.7,213,Delayed,On-Time,On-Time,Delayed,Delayed
LA-1027,Uttar Pradesh,Kanpur,Irrigation,203.28,424,Pending,No,Notification,Not Started,84.7,Medium,40.19371497375777,37.9,259,On-Time,Delayed,On-Time,On-Time,On-Time
LA-1028,Rajasthan,Jaipur,Highway,36.58,72,Partially Paid,No,Possession,Pending,38.8,Medium,83.34759676578119,15.1,170,Delayed,On-Time,On-Time,On-Time,Delayed
LA-1029,Madhya Pradesh,Indore,Irrigation,54.35,72,Pending,No,Compensation,Pending,57.9,High,83.965315482547,24.3,118,On-Time,On-Time,Delayed,On-Time,On-Time
LA-1030,Delhi,North Delhi,Power Project,199.37,405,Paid,No,Notification,Not Started,79.4,Low,61.73803320445452,25.5,257,On-Time,Delayed,On-Time,On-Time,Delayed
LA-1031,Madhya Pradesh,Jabalpur,Power Project,36.33,107,Pending,No,Possession,Pending,54.0,Medium,55.090808129488416,10.4,182,Delayed,On-Time,On-Time,On-Time,On-Time
LA-1032,Uttar Pradesh,Lucknow,Metro,220.32,417,Paid,No,Compensation,In Progress,69.3,Medium,61.11055446911006,10.4,161,On-Time,On-Time,On-Time,Delayed,On-Time
LA-1033,Delhi,South Delhi,Irrigation,11.36,67,Paid,Yes,Compensation,In Progress,55.6,Medium,61.83818713132143,9.1,249,On-Time,On-Time,Delayed,Delayed,On-Time
LA-1034,West Bengal,Howrah,Metro,115.58,144,Pending,No,Approval,Not Started,31.0,Low,76.54305371742048,31.3,209,On-Time,Delayed,Delayed,On-Time,Delayed
LA-1035,West Bengal,Kolkata,Highway,98.71,249,Paid,No,Possession,In Progress,59.5,Medium,47.93210547349062,7.2,185,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1036,Tamil Nadu,Madurai,Airport,160.92,311,Partially Paid,Yes,Approval,Not Started,32.6,High,56.245931553447235,40.0,275,On-Time,Delayed,Delayed,Delayed,On-Time
LA-1037,Maharashtra,Pune,Railway,95.5,180,Partially Paid,No,Approval,Not Started,73.4,Medium,62.24497393767173,14.6,177,On-Time,On-Time,Delayed,On-Time,On-Time
LA-1038,Uttar Pradesh,Varanasi,Metro,100.63,212,Pending,No,Notification,Not Started,51.7,Low,68.875859165007,24.2,219,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1039,Karnataka,Bengaluru,Railway,51.28,63,Partially Paid,No,Possession,In Progress,58.6,Medium,77.99568685213033,8.7,158,Delayed,On-Time,On-Time,On-Time,Delayed
LA-1040,Gujarat,Ahmedabad,Industrial Corridor,70.75,132,Paid,Yes,Compensation,Pending,42.5,Low,69.66470851990101,60.0,344,On-Time,Delayed,Delayed,Delayed,Delayed
LA-1041,Uttar Pradesh,Varanasi,Highway,207.15,205,Paid,No,Compensation,In Progress,82.4,Low,91.28156669278067,32.9,168,On-Time,On-Time,On-Time,On-Time,Delayed
LA-1042,Rajasthan,Jodhpur,Airport,113.73,174,Pending,No,Approval,Not Started,70.1,Medium,50.12680121286097,32.1,231,On-Time,Delayed,Delayed,Delayed,Delayed
LA-1043,Delhi,South Delhi,Industrial Corridor,128.18,253,Paid,Yes,Compensation,Pending,95.8,High,86.92453532321116,34.1,232,On-Time,Delayed,On-Time,Delayed,On-Time
LA-1044,Bihar,Muzaffarpur,Industrial Corridor,101.29,138,Pending,No,Possession,Completed,71.7,High,50.69187691651627,30.3,191,On-Time,Delayed,Delayed,On-Time,On-Time
LA-1045,Maharashtra,Nagpur,Power Project,74.79,208,Paid,No,Approval,Not Started,70.5,Medium,59.07044876661021,9.8,167,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1046,Karnataka,Mangaluru,Industrial Corridor,16.65,110,Paid,No,Possession,In Progress,55.7,High,70.80834601877316,11.8,105,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1047,Maharashtra,Aurangabad,Highway,184.56,291,Paid,No,Approval,Not Started,54.1,Medium,82.66805124263104,20.4,142,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1048,Rajasthan,Udaipur,Metro,136.87,176,Partially Paid,No,Possession,In Progress,87.3,Medium,59.09518282382507,31.1,235,On-Time,Delayed,On-Time,On-Time,Delayed
LA-1049,Rajasthan,Udaipur,Highway,87.82,164,Paid,Yes,Notification,Not Started,67.8,High,70.88772377120038,36.4,233,On-Time,Delayed,On-Time,Delayed,Delayed
LA-1050,Uttar Pradesh,Prayagraj,Metro,44.82,104,Paid,No,Compensation,In Progress,23.7,Medium,60.265643254900105,12.6,188,Delayed,On-Time,On-Time,Delayed,On-Time
LA-1051,West Bengal,Siliguri,Industrial Corridor,144.37,287,Paid,No,Possession,Completed,62.6,Medium,30.566524337724722,19.2,248,On-Time,Delayed,On-Time,On-Time,Delayed
LA-1052,Tamil Nadu,Coimbatore,Industrial Corridor,42.05,105,Paid,No,Possession,In Progress,63.8,High,64.42346273979912,54.8,202,On-Time,On-Time,On-Time,Delayed,On-Time
LA-1053,West Bengal,Durgapur,Airport,130.01,190,Paid,Yes,Approval,Pending,47.6,High,46.37705938446773,60.0,359,Delayed,Delayed,On-Time,On-Time,Delayed
LA-1054,Bihar,Gaya,Metro,53.4,102,Paid,Yes,Approval,Pending,71.1,Low,84.07233597326191,16.9,249,On-Time,Delayed,On-Time,On-Time,Delayed
LA-1055,Madhya Pradesh,Bhopal,Industrial Corridor,106.31,146,Pending,Yes,Notification,Not Started,55.3,High,84.17609440886025,41.1,203,On-Time,Delayed,Delayed,Delayed,On-Time
LA-1056,West Bengal,Kolkata,Power Project,194.18,248,Paid,No,Possession,In Progress,51.4,High,52.460034673376555,6.3,134,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1057,Uttar Pradesh,Agra,Railway,94.85,159,Paid,Yes,Compensation,In Progress,46.9,High,50.154571407235224,17.3,239,On-Time,On-Time,On-Time,On-Time,Delayed
LA-1058,Uttar Pradesh,Prayagraj,Airport,121.1,235,Pending,No,Approval,Not Started,75.6,High,55.56529386192778,45.4,194,Delayed,On-Time,On-Time,On-Time,On-Time
LA-1059,Delhi,North Delhi,Highway,254.84,368,Paid,No,Notification,Not Started,22.4,Medium,72.98592083540368,51.8,239,On-Time,Delayed,On-Time,On-Time,On-Time
LA-1060,Maharashtra,Mumbai,Airport,110.96,132,Pending,Yes,Possession,In Progress,67.0,High,73.04541803953032,28.6,228,On-Time,Delayed,Delayed,On-Time,On-Time
LA-1061,Gujarat,Surat,Railway,41.08,152,Paid,No,Compensation,Pending,25.5,Low,95.0,3.7,137,On-Time,On-Time,On-Time,Delayed,On-Time
LA-1062,Maharashtra,Pune,Metro,132.83,149,Paid,Yes,Approval,Not Started,79.9,High,60.369806421492214,3.4,214,On-Time,Delayed,On-Time,On-Time,On-Time
LA-1063,Tamil Nadu,Chennai,Highway,68.5,185,Paid,No,Approval,Pending,81.8,Medium,66.37054496595074,27.1,194,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1064,Gujarat,Rajkot,Highway,223.57,296,Partially Paid,No,Approval,Pending,42.6,High,93.97599507004642,28.8,134,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1065,Maharashtra,Mumbai,Metro,66.36,169,Partially Paid,No,Compensation,In Progress,38.1,Low,69.29511781569978,60.0,292,Delayed,On-Time,On-Time,Delayed,Delayed
LA-1066,Rajasthan,Jaipur,Irrigation,66.86,131,Paid,Yes,Possession,Pending,71.7,Medium,48.6788649092845,12.9,323,Delayed,On-Time,On-Time,On-Time,On-Time
LA-1067,Uttar Pradesh,Agra,Irrigation,119.44,206,Pending,No,Possession,In Progress,79.0,Low,70.12948969884918,8.5,175,On-Time,On-Time,Delayed,On-Time,Delayed
LA-1068,Tamil Nadu,Coimbatore,Airport,104.53,252,Paid,No,Compensation,Pending,61.3,Medium,75.5722296933775,19.7,161,On-Time,On-Time,On-Time,Delayed,Delayed
LA-1069,Delhi,New Delhi,Industrial Corridor,131.55,114,Paid,No,Possession,In Progress,45.9,Medium,59.87457181712065,16.2,198,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1070,West Bengal,Kolkata,Irrigation,61.68,63,Partially Paid,Yes,Approval,Not Started,30.1,Low,76.92919485973563,33.4,323,On-Time,On-Time,On-Time,Delayed,Delayed
LA-1071,Tamil Nadu,Madurai,Airport,144.8,223,Pending,No,Approval,Not Started,69.8,High,75.59435084150331,37.2,151,On-Time,Delayed,On-Time,Delayed,On-Time
LA-1072,Uttar Pradesh,Lucknow,Irrigation,20.75,76,Paid,No,Possession,In Progress,70.1,Medium,58.123323967678694,19.3,222,Delayed,On-Time,On-Time,On-Time,On-Time
LA-1073,Delhi,South Delhi,Railway,56.69,157,Paid,No,Approval,Not Started,51.6,High,88.27554489496656,36.0,125,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1074,Tamil Nadu,Madurai,Power Project,127.52,256,Pending,No,Approval,Not Started,42.4,Medium,53.246310419575735,10.3,218,Delayed,Delayed,On-Time,On-Time,On-Time
LA-1075,Karnataka,Hubballi,Industrial Corridor,16.3,120,Pending,No,Possession,Pending,93.4,Low,71.55967667487081,25.9,218,On-Time,On-Time,On-Time,On-Time,Delayed
LA-1076,Karnataka,Mysuru,Airport,115.67,166,Paid,No,Notification,Not Started,43.8,Low,55.968291256570915,2.1,190,On-Time,On-Time,On-Time,Delayed,On-Time
LA-1077,Tamil Nadu,Coimbatore,Power Project,103.04,190,Pending,Yes,Possession,Completed,56.5,High,39.60638431332894,12.7,272,On-Time,Delayed,On-Time,On-Time,On-Time
LA-1078,Delhi,New Delhi,Power Project,49.67,115,Paid,No,Possession,Pending,10.9,High,70.37557967121293,31.5,179,On-Time,On-Time,Delayed,On-Time,On-Time
LA-1079,Gujarat,Vadodara,Irrigation,115.76,185,Pending,No,Compensation,Pending,31.0,High,93.93991979483447,59.0,103,On-Time,On-Time,Delayed,Delayed,On-Time
LA-1080,Uttar Pradesh,Agra,Metro,52.02,84,Partially Paid,Yes,Notification,Not Started,54.8,High,64.19238390407078,11.4,242,Delayed,Delayed,On-Time,On-Time,Delayed
LA-1081,Bihar,Bhagalpur,Railway,137.69,152,Pending,No,Approval,Pending,35.4,High,42.598624101790506,26.4,185,On-Time,On-Time,Delayed,Delayed,On-Time
LA-1082,Madhya Pradesh,Jabalpur,Railway,108.21,141,Pending,Yes,Notification,Not Started,70.2,High,68.33087087790175,11.1,211,On-Time,On-Time,Delayed,Delayed,Delayed
LA-1083,Maharashtra,Pune,Railway,158.69,282,Paid,No,Approval,Pending,14.6,Low,52.719756872579545,16.6,237,Delayed,Delayed,On-Time,On-Time,Delayed
LA-1084,Delhi,North Delhi,Industrial Corridor,292.59,444,Paid,No,Possession,Completed,58.1,Medium,80.80688236005298,29.7,118,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1085,Maharashtra,Pune,Highway,109.24,241,Partially Paid,No,Approval,Not Started,64.9,Medium,61.57048375305667,9.5,169,On-Time,On-Time,Delayed,On-Time,On-Time
LA-1086,Maharashtra,Nagpur,Industrial Corridor,172.71,186,Paid,Yes,Approval,Not Started,87.5,Medium,38.4115648691992,16.5,321,Delayed,Delayed,On-Time,On-Time,Delayed
LA-1087,Karnataka,Hubballi,Airport,33.12,125,Paid,Yes,Compensation,In Progress,27.4,Medium,72.62785977393882,24.4,294,Delayed,On-Time,On-Time,On-Time,Delayed
LA-1088,Madhya Pradesh,Gwalior,Power Project,127.35,323,Pending,Yes,Compensation,In Progress,44.0,Low,68.13316463675511,25.6,314,Delayed,Delayed,On-Time,On-Time,On-Time
LA-1089,Bihar,Muzaffarpur,Power Project,10.04,31,Paid,No,Possession,In Progress,46.4,Medium,60.50182508575064,22.7,221,On-Time,Delayed,On-Time,Delayed,On-Time
LA-1090,Rajasthan,Jaipur,Highway,132.89,208,Paid,No,Approval,Not Started,43.9,High,49.41796030523211,24.4,155,On-Time,On-Time,On-Time,Delayed,On-Time
LA-1091,Uttar Pradesh,Varanasi,Airport,33.57,91,Paid,No,Possession,Pending,61.4,Medium,91.8370609514177,13.3,120,On-Time,On-Time,Delayed,On-Time,On-Time
LA-1092,Karnataka,Hubballi,Highway,145.41,349,Partially Paid,No,Compensation,Pending,45.7,Low,58.22137202139197,11.8,258,Delayed,On-Time,On-Time,On-Time,On-Time
LA-1093,Tamil Nadu,Chennai,Power Project,184.0,369,Paid,No,Approval,Not Started,87.3,High,78.45647257094595,9.8,138,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1094,Madhya Pradesh,Indore,Irrigation,126.42,251,Paid,Yes,Approval,Not Started,55.7,Medium,58.05107160201478,10.8,255,On-Time,Delayed,Delayed,Delayed,On-Time
LA-1095,Tamil Nadu,Salem,Industrial Corridor,16.32,5,Pending,No,Approval,Pending,88.0,High,75.21236313759131,10.1,127,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1096,Rajasthan,Udaipur,Railway,62.48,114,Pending,No,Compensation,Pending,38.3,High,65.80178248640955,23.0,182,Delayed,Delayed,Delayed,On-Time,On-Time
LA-1097,Rajasthan,Kota,Power Project,278.59,359,Pending,No,Approval,Pending,77.2,Low,65.42022187935352,11.1,225,Delayed,On-Time,Delayed,On-Time,On-Time
LA-1098,Gujarat,Rajkot,Metro,123.53,277,Pending,No,Possession,Pending,68.4,High,52.60289423089251,24.5,189,On-Time,On-Time,Delayed,Delayed,On-Time
LA-1099,Delhi,South Delhi,Railway,140.31,258,Paid,No,Compensation,In Progress,91.6,High,72.92216612340518,19.5,139,On-Time,Delayed,On-Time,On-Time,On-Time
LA-1100,Uttar Pradesh,Agra,Power Project,36.99,45,Partially Paid,No,Possession,Pending,84.5,High,86.07685382112908,27.4,138,On-Time,On-Time,On-Time,Delayed,On-Time
LA-1101,Delhi,North Delhi,Industrial Corridor,42.94,35,Paid,Yes,Notification,Not Started,77.0,Low,49.48430926755602,21.9,348,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1102,Madhya Pradesh,Bhopal,Highway,73.99,88,Paid,No,Approval,Pending,57.8,High,52.5157486003459,20.5,178,On-Time,Delayed,On-Time,On-Time,On-Time
LA-1103,Maharashtra,Pune,Irrigation,159.23,292,Paid,Yes,Notification,Not Started,31.6,Low,95.0,39.9,228,On-Time,On-Time,On-Time,On-Time,Delayed
LA-1104,Rajasthan,Jodhpur,Irrigation,45.94,78,Paid,No,Approval,Not Started,79.3,High,49.97597238969813,37.6,215,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1105,Bihar,Muzaffarpur,Railway,264.29,251,Paid,Yes,Possession,Pending,41.5,Low,56.68134473273207,26.2,296,Delayed,Delayed,On-Time,On-Time,On-Time
LA-1106,Maharashtra,Nagpur,Industrial Corridor,23.03,95,Paid,Yes,Notification,Not Started,78.3,Low,85.75550580844151,37.1,318,Delayed,Delayed,Delayed,On-Time,On-Time
LA-1107,Gujarat,Surat,Irrigation,73.4,92,Partially Paid,No,Approval,Pending,29.1,High,86.20738986670683,10.9,85,On-Time,On-Time,On-Time,Delayed,On-Time
LA-1108,Tamil Nadu,Chennai,Irrigation,199.68,236,Paid,No,Notification,Not Started,42.7,High,28.57875384408439,16.9,226,On-Time,Delayed,On-Time,On-Time,On-Time
LA-1109,Uttar Pradesh,Lucknow,Airport,36.85,68,Partially Paid,No,Approval,Not Started,82.3,High,76.48138870926068,17.3,119,Delayed,On-Time,Delayed,On-Time,On-Time
LA-1110,Delhi,North Delhi,Metro,59.2,126,Partially Paid,Yes,Possession,Completed,87.3,Medium,62.07492852648652,25.1,268,Delayed,Delayed,On-Time,Delayed,Delayed
LA-1111,Maharashtra,Mumbai,Railway,95.24,143,Pending,No,Compensation,In Progress,70.1,High,62.75967618454264,6.7,161,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1112,Uttar Pradesh,Kanpur,Highway,37.53,197,Paid,No,Compensation,In Progress,58.0,High,82.47685375111317,26.0,155,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1113,West Bengal,Siliguri,Irrigation,18.82,81,Partially Paid,No,Approval,Not Started,59.3,High,59.777361083414306,31.2,200,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1114,Tamil Nadu,Madurai,Airport,48.01,151,Partially Paid,Yes,Possession,Pending,89.9,High,57.320744538005194,30.5,285,On-Time,Delayed,On-Time,On-Time,On-Time
LA-1115,Madhya Pradesh,Jabalpur,Industrial Corridor,184.12,243,Pending,Yes,Compensation,In Progress,52.3,High,60.17700863083597,6.2,213,On-Time,On-Time,On-Time,Delayed,Delayed
LA-1116,Bihar,Gaya,Irrigation,73.22,121,Paid,No,Approval,Not Started,69.2,Low,59.763460156405536,7.3,190,On-Time,Delayed,On-Time,On-Time,Delayed
LA-1117,Tamil Nadu,Chennai,Metro,36.1,60,Paid,No,Approval,Not Started,56.3,Low,70.2103551988532,13.0,184,On-Time,Delayed,On-Time,On-Time,On-Time
LA-1118,Uttar Pradesh,Varanasi,Highway,37.14,148,Paid,No,Possession,Completed,81.0,High,84.84994889516018,60.0,189,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1119,Bihar,Patna,Industrial Corridor,153.46,318,Paid,No,Compensation,Pending,81.3,Medium,71.41327701664035,26.4,211,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1120,Rajasthan,Kota,Industrial Corridor,49.22,51,Partially Paid,No,Compensation,In Progress,84.8,Medium,64.80703427050022,7.6,147,On-Time,On-Time,Delayed,On-Time,On-Time
LA-1121,Tamil Nadu,Coimbatore,Railway,113.69,193,Pending,No,Approval,Pending,79.3,Medium,73.1958314646389,27.5,178,On-Time,On-Time,Delayed,Delayed,Delayed
LA-1122,Bihar,Patna,Irrigation,66.58,123,Paid,No,Approval,Pending,53.7,Medium,76.70294196799317,22.8,165,On-Time,On-Time,Delayed,On-Time,On-Time
LA-1123,Maharashtra,Pune,Railway,106.44,170,Paid,No,Compensation,Pending,69.7,Medium,73.67015532732884,29.9,172,Delayed,On-Time,On-Time,On-Time,On-Time
LA-1124,Uttar Pradesh,Prayagraj,Highway,153.74,135,Paid,Yes,Compensation,In Progress,26.6,Medium,54.99042593184643,20.3,297,Delayed,On-Time,On-Time,On-Time,Delayed
LA-1125,Uttar Pradesh,Kanpur,Irrigation,161.67,205,Paid,Yes,Compensation,In Progress,95.8,Medium,71.36906762668994,21.0,274,On-Time,Delayed,On-Time,On-Time,Delayed
LA-1126,Gujarat,Surat,Power Project,40.0,117,Pending,No,Compensation,In Progress,76.4,High,33.20672246540927,12.9,262,On-Time,On-Time,On-Time,On-Time,Delayed
LA-1127,Tamil Nadu,Madurai,Irrigation,74.62,178,Pending,No,Approval,Not Started,37.6,High,88.00882166736025,60.0,213,On-Time,On-Time,Delayed,On-Time,Delayed
LA-1128,Bihar,Bhagalpur,Power Project,57.48,74,Paid,No,Possession,In Progress,88.8,High,87.96621839925831,16.4,124,On-Time,Delayed,On-Time,On-Time,On-Time
LA-1129,Delhi,New Delhi,Industrial Corridor,175.04,224,Paid,Yes,Possession,In Progress,47.5,Medium,78.34101544766655,18.8,227,Delayed,Delayed,On-Time,On-Time,On-Time
LA-1130,Rajasthan,Kota,Railway,39.46,5,Pending,Yes,Possession,In Progress,54.9,High,83.68901687465547,14.7,204,On-Time,On-Time,On-Time,On-Time,Delayed
LA-1131,Gujarat,Rajkot,Metro,111.66,205,Paid,No,Approval,Pending,72.0,Medium,63.88756980670871,3.4,128,On-Time,On-Time,Delayed,On-Time,On-Time
LA-1132,Uttar Pradesh,Varanasi,Irrigation,107.77,145,Partially Paid,No,Approval,Not Started,74.8,High,53.74270137445157,6.9,176,On-Time,On-Time,On-Time,On-Time,Delayed
LA-1133,Uttar Pradesh,Agra,Metro,42.64,68,Pending,No,Possession,In Progress,66.5,Low,46.19145861313874,23.3,270,Delayed,On-Time,On-Time,On-Time,On-Time
LA-1134,Maharashtra,Mumbai,Irrigation,18.92,46,Partially Paid,No,Compensation,In Progress,37.0,High,80.12206399114353,15.9,125,On-Time,Delayed,On-Time,On-Time,On-Time
LA-1135,West Bengal,Kolkata,Industrial Corridor,50.98,214,Paid,No,Compensation,In Progress,27.4,Medium,53.740776139877354,5.5,175,On-Time,Delayed,On-Time,On-Time,Delayed
LA-1136,Maharashtra,Nashik,Railway,67.26,109,Paid,No,Possession,In Progress,46.3,Medium,59.39356775048348,32.5,236,Delayed,On-Time,On-Time,On-Time,On-Time
LA-1137,Rajasthan,Jaipur,Highway,70.3,78,Pending,Yes,Compensation,In Progress,79.9,High,68.36207152308552,31.9,226,On-Time,On-Time,Delayed,Delayed,Delayed
LA-1138,Karnataka,Bengaluru,Highway,65.42,106,Paid,No,Compensation,Pending,68.4,High,64.43795165877454,28.8,195,Delayed,On-Time,On-Time,On-Time,On-Time
LA-1139,Gujarat,Ahmedabad,Highway,130.03,152,Paid,Yes,Notification,Not Started,32.6,Low,68.97159174485587,22.2,302,Delayed,On-Time,On-Time,On-Time,On-Time
LA-1140,West Bengal,Siliguri,Irrigation,143.78,191,Pending,Yes,Notification,Not Started,81.6,High,37.87824019369889,53.2,348,Delayed,On-Time,Delayed,Delayed,Delayed
LA-1141,West Bengal,Durgapur,Irrigation,168.65,235,Pending,No,Notification,Not Started,75.9,Low,61.49755473159851,15.1,200,On-Time,On-Time,Delayed,On-Time,On-Time
LA-1142,Maharashtra,Mumbai,Metro,47.14,134,Paid,No,Possession,In Progress,69.8,Low,77.36244975274225,22.1,185,Delayed,On-Time,On-Time,On-Time,On-Time
LA-1143,Rajasthan,Jaipur,Railway,77.33,183,Paid,No,Approval,Pending,87.9,Medium,58.522740355046096,8.8,156,On-Time,On-Time,On-Time,Delayed,On-Time
LA-1144,Maharashtra,Nashik,Irrigation,207.48,246,Partially Paid,No,Compensation,In Progress,41.1,Medium,52.067548761439404,6.1,212,On-Time,On-Time,On-Time,On-Time,Delayed
LA-1145,Maharashtra,Nagpur,Railway,74.71,149,Paid,Yes,Possession,In Progress,76.1,Medium,79.32192199722522,48.7,280,On-Time,Delayed,Delayed,On-Time,On-Time
LA-1146,Delhi,New Delhi,Metro,55.71,157,Paid,Yes,Compensation,In Progress,45.5,Medium,58.63622428081872,28.7,280,On-Time,Delayed,On-Time,Delayed,On-Time
LA-1147,Madhya Pradesh,Indore,Irrigation,121.67,199,Pending,No,Compensation,In Progress,89.4,Low,67.7673332540297,26.4,221,On-Time,Delayed,Delayed,Delayed,On-Time
LA-1148,Rajasthan,Udaipur,Highway,133.68,237,Paid,No,Approval,Pending,47.4,High,61.84334173340384,60.0,247,On-Time,Delayed,On-Time,On-Time,On-Time
